COM,NCOM,NREG,NDEP,F65-79,F80+,H65-79,H80+,latitude,longitude
1141,Cuzieu,Auvergne-Rhône-Alpes,Ain,36,18,34.0,10.0,45.8200002803,5.6765554896
1142,Dagneux,Auvergne-Rhône-Alpes,Ain,270,89,230.0,57.0,45.8531616918,5.07289166803
1143,Divonne-les-Bains,Auvergne-Rhône-Alpes,Ain,627,295,461.0,153.0,46.3756333495,6.1158647611
1145,Dompierre-sur-Veyle,Auvergne-Rhône-Alpes,Ain,82,27,79.0,16.0,46.0667883703,5.21665199666
1146,Dompierre-sur-Chalaronne,Auvergne-Rhône-Alpes,Ain,27,7,29.0,8.0,46.1415406621,4.90141714714
1147,Domsure,Auvergne-Rhône-Alpes,Ain,35,16,43.0,11.0,46.4244066427,5.29313479651
1148,Dortan,Auvergne-Rhône-Alpes,Ain,131,49,118.0,32.0,46.3133221173,5.64146584117
1149,Douvres,Auvergne-Rhône-Alpes,Ain,78,19,81.0,12.0,45.984297392,5.37106901673
1150,Drom,Auvergne-Rhône-Alpes,Ain,12,4,11.0,1.0,46.2196603059,5.36799994918
1151,Druillat,Auvergne-Rhône-Alpes,Ain,101,36,92.0,34.0,46.067579544,5.29361666429
1152,Échallon,Auvergne-Rhône-Alpes,Ain,46,22,54.0,13.0,46.2271364137,5.73330448395
1153,Échenevex,Auvergne-Rhône-Alpes,Ain,96,17,107.0,17.0,46.3160845207,6.01926187996
1155,Évosges,Auvergne-Rhône-Alpes,Ain,14,4,11.0,2.0,45.965147537,5.50283599885
1156,Faramans,Auvergne-Rhône-Alpes,Ain,43,17,36.0,11.0,45.9104942091,5.1249258559
1157,Fareins,Auvergne-Rhône-Alpes,Ain,177,56,176.0,34.0,46.020997974,4.7620080898
1158,Farges,Auvergne-Rhône-Alpes,Ain,44,21,43.0,16.0,46.166230455,5.90019477201
1159,Feillens,Auvergne-Rhône-Alpes,Ain,249,126,245.0,69.0,46.3365833672,4.88507050971
1160,Ferney-Voltaire,Auvergne-Rhône-Alpes,Ain,557,171,418.0,117.0,46.2519789243,6.10826403805
1162,Flaxieu,Auvergne-Rhône-Alpes,Ain,4,5,5.0,0.0,45.8113298005,5.74459048839
1163,Foissiat,Auvergne-Rhône-Alpes,Ain,160,90,158.0,56.0,46.3784759782,5.18483641417
1165,Francheleins,Auvergne-Rhône-Alpes,Ain,95,19,86.0,25.0,46.0735946256,4.81293575559
1165,Francheleins,Auvergne-Rhône-Alpes,Ain,95,19,86.0,25.0,46.0735946256,4.81293575559
1165,Francheleins,Auvergne-Rhône-Alpes,Ain,95,19,86.0,25.0,46.0735946256,4.81293575559
1166,Frans,Auvergne-Rhône-Alpes,Ain,161,54,149.0,39.0,45.9939065077,4.78033196905
1167,Garnerans,Auvergne-Rhône-Alpes,Ain,47,19,42.0,10.0,46.2136224825,4.82843188743
1169,Genouilleux,Auvergne-Rhône-Alpes,Ain,26,7,35.0,6.0,46.1201611728,4.79288195016
1170,Béard-Géovreissiat,Auvergne-Rhône-Alpes,Ain,30,13,41.0,9.0,46.1896733539,5.55139781353
1171,Géovreisset,Auvergne-Rhône-Alpes,Ain,50,15,47.0,12.0,46.2508621615,5.61271973915
